regio1,regio2,regio3,baseRent,totalRent,livingSpace,noRooms,floor,numberOfFloors,yearConstructed,condition,interiorQual,lift,balcony,hasKitchen,cellar,garden,typeOfFlat,serviceCharge,heatingType,newlyConst,picturecount,pricetrend,date,rent_per_sqm,neighborhood,district_part,bezirk,date_clean,district_name,avg_monthly_income_eur,median_monthly_income_eur,unemployment_rate_pct,population,transfer_income_share_pct,rent_burden_pct
Berlin,Berlin,Reinickendorf_Reinickendorf,925.0,1155.0,72.77,3.0,5.0,5.0,1959.0,first_time_use_after_refurbishment,sophisticated,True,True,False,True,False,apartment,175.0,central_heating,False,15,7.59,Oct19,12.71128212175347,Reinickendorf,Reinickendorf,Reinickendorf,2019-10,Reinickendorf,1800,1650,10.2,265000,16.0,51.388888888888886
Berlin,Berlin,Niederschönhausen_Pankow,784.8,1004.8,65.4,2.0,4.0,4.0,,well_kept,normal,False,True,True,True,False,roof_storey,220.0,central_heating,False,14,6.26,Oct19,11.999999999999998,Niederschönhausen,Pankow,Pankow,2019-10,Pankow,2200,2050,6.5,413000,9.5,35.67272727272727
Berlin,Berlin,Britz_Neukölln,750.0,999.0,80.11,3.0,3.0,5.0,1900.0,modernized,sophisticated,False,True,False,False,False,apartment,249.0,central_heating,False,11,7.04,Oct19,9.362127075271502,Britz,Neukölln,Neukölln,2019-10,Neukölln,1650,1500,14.1,329000,24.0,45.45454545454545
Berlin,Berlin,Buckow_Neukölln,500.94,752.34,52.73,2.0,1.0,3.0,1996.0,well_kept,normal,False,True,True,True,False,apartment,120.22,central_heating,False,12,8.14,May19,9.500094822681586,Buckow,Neukölln,Neukölln,2019-05,Neukölln,1650,1500,14.1,329000,24.0,30.36
Berlin,Berlin,Tegel_Reinickendorf,1855.68,2196.66,115.98,4.0,6.0,7.0,1986.0,first_time_use_after_refurbishment,sophisticated,True,True,True,True,True,apartment,340.98,central_heating,False,31,7.87,May19,16.0,Tegel,Reinickendorf,Reinickendorf,2019-05,Reinickendorf,1800,1650,10.2,265000,16.0,103.09333333333335
Berlin,Berlin,Spandau_Spandau,607.02,899.95,82.7,3.0,0.0,,1927.0,well_kept,,False,False,False,True,False,ground_floor,292.93,gas_heating,False,3,8.6,May19,7.340024183796856,Spandau,Spandau,Spandau,2019-05,Spandau,1700,1550,11.5,245000,18.5,35.70705882352941
Berlin,Berlin,Hellersdorf_Hellersdorf,639.0,806.0,68.54,3.0,3.0,,1985.0,modernized,,False,True,False,True,False,apartment,167.0,district_heating,False,11,6.36,Feb20,9.323023052232273,Hellersdorf,Hellersdorf,Marzahn-Hellersdorf,2020-02,Marzahn-Hellersdorf,1750,1600,10.8,269000,17.0,36.51428571428571
Berlin,Berlin,Grünau_Köpenick,789.0,980.0,61.89,2.0,1.0,2.0,,first_time_use,sophisticated,False,True,True,True,False,,191.0,combined_heat_and_power_plant,False,19,7.14,Sep18,12.748424624333497,Grünau,Köpenick,Treptow-Köpenick,2018-09,Treptow-Köpenick,2050,1900,7.0,274000,10.5,38.487804878048784
Berlin,Berlin,Biesdorf_Marzahn,712.19,890.41,71.29,3.0,2.0,6.0,2018.0,,,True,True,False,False,False,apartment,121.19,,True,15,7.53,Sep18,9.9900406789171,Biesdorf,Marzahn,Marzahn-Hellersdorf,2018-09,Marzahn-Hellersdorf,1750,1600,10.8,269000,17.0,40.69657142857143
Berlin,Berlin,Tempelhof_Tempelhof,746.0,915.97,27.45,1.0,0.0,3.0,2019.0,first_time_use,sophisticated,False,True,True,False,False,apartment,169.88,district_heating,True,13,7.05,Feb20,27.176684881602917,Tempelhof,Tempelhof,Tempelhof-Schöneberg,2020-02,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,35.523809523809526
